timestamp,fx,fy,fz,tx,ty,tz
1581072657.103490414,-0.870751,7.14211,1.6133,4.16155,1.50848,0.0579717
1581072657.109991860,-0.939233,7.18865,1.63511,4.17427,1.51748,0.056888
1581072657.116263634,-1.14502,7.26694,1.61123,4.19549,1.54091,0.054381
1581072657.122418047,-1.14873,7.31531,1.74848,4.20639,1.54126,0.052932
1581072657.130224516,-1.32931,7.40179,1.75286,4.23978,1.56554,0.0488424
1581072657.136449596,-1.39442,7.43548,1.87829,4.24915,1.57022,0.0475024
1581072657.180089813,-1.01038,7.35544,1.71086,4.2411,1.51147,0.0510078
1581072657.186335488,-1.1161,7.43726,1.73983,4.28119,1.53048,0.0460584
1581072657.192985403,-1.25597,7.47292,1.65291,4.29065,1.54317,0.0436288
1581072657.199449082,-1.14237,7.6031,1.67362,4.33127,1.53764,0.0404363
1581072657.206079242,-0.934529,7.55712,1.76843,4.31248,1.50842,0.0418454
1581072657.212344811,-0.935638,7.5805,1.86826,4.33457,1.51279,0.0389577
1581072657.218549349,-1.0444,7.62815,1.82698,4.36602,1.53003,0.0342415
1581072657.274535365,-1.2109,7.64861,1.55377,4.37169,1.54757,0.0325877
1581072657.280925432,-1.10147,7.75732,2.14061,4.37543,1.53404,0.0207992
1581072657.287246238,-1.26332,7.71446,2.12129,4.36445,1.54778,0.019813
1581072657.294125063,-1.34712,7.54476,1.73965,4.31605,1.547,0.0220941
1581072657.337104125,-1.0156,7.25896,1.68071,4.2154,1.48907,0.0311706
1581072657.343425002,-1.05905,7.60193,2.27235,4.30086,1.48493,0.0213048
1581072657.349928658,-0.780611,7.70412,2.19334,4.33879,1.46362,0.0196931
1581072657.356241053,-0.694175,7.81081,2.15808,4.37982,1.46333,0.0168262
1581072657.362382817,-0.879668,7.88535,1.99443,4.40046,1.48596,0.0140208
1581072657.368959776,-1.05707,7.86088,1.92402,4.37817,1.49665,0.0153763
1581072657.375256638,-1.04185,7.74757,2.09184,4.33235,1.48355,0.0179448
1581072657.382377648,-1.01442,7.49459,2.04364,4.2828,1.47364,0.0196355
1581072657.421058055,-1.05563,7.6807,1.87192,4.37423,1.48961,0.0164551
1581072657.427206847,-1.1628,7.63124,1.79347,4.35453,1.49581,0.0187027
1581072657.434417384,-0.963825,7.66739,2.02869,4.34968,1.46992,0.0222036
