timestamp,x,y,z,a,b,c
1581302319.933061113,0.0133205,-0.0146114,-7.48551e-14,-nan,-nan,-nan
1581302319.972698720,0.0116555,-0.0125093,-7.32746e-14,-nan,-nan,-nan
1581302320.016059404,0.0124218,-0.0123637,-1.15839e-13,-nan,-nan,-nan
1581302320.022716263,0.0114155,-0.0119643,-8.20292e-14,-nan,-nan,-nan
1581302320.029622910,0.0117164,-0.0125467,-7.49089e-14,-nan,-nan,-nan
1581302320.035910277,0.0126454,-0.0137855,-7.82417e-14,-nan,-nan,-nan
1581302320.042680106,0.0115679,-0.0125576,-7.42557e-14,-nan,-nan,-nan
1581302320.048883419,0.0138125,-0.0149813,-8.66871e-14,-nan,-nan,-nan
1581302320.055677311,0.0104531,-0.0111752,-6.89028e-14,-nan,-nan,-nan
1581302320.061847395,0.0132276,-0.0138501,-9.502e-14,-nan,-nan,-nan
1581302320.068645632,0.0109256,-0.0112401,-8.84313e-14,-nan,-nan,-nan
1581302320.074859047,0.0118648,-0.0119053,-1.05552e-13,-nan,-nan,-nan
1581302320.081469237,0.0129763,-0.0131334,-1.14207e-13,-nan,-nan,-nan
1581302320.123806705,0.0119594,-0.0125865,-8.58871e-14,-nan,-nan,-nan
1581302320.162894563,0.0118184,-0.0131156,-6.22235e-14,-nan,-nan,-nan
1581302320.168913920,0.012192,-0.0118183,-1.24884e-13,-nan,-nan,-nan
1581302320.175571798,0.0138437,-0.013375,-1.48895e-13,-nan,-nan,-nan
1581302320.181720093,0.0126046,-0.0117812,-1.44419e-13,-nan,-nan,-nan
1581302320.187887691,0.0123201,-0.0112618,-1.47756e-13,-nan,-nan,-nan
1581302320.195606174,0.0134981,-0.0129546,-1.40849e-13,-nan,-nan,-nan
1581302320.201806267,0.0106619,-0.0110896,-7.9303e-14,-nan,-nan,-nan
1581302320.208030154,0.0135331,-0.0150801,-7.05742e-14,-nan,-nan,-nan
1581302320.214041535,0.0115394,-0.0133863,-3.94099e-14,-nan,-nan,-nan
1581302320.220628908,0.0102138,-0.0119526,-2.98958e-14,-nan,-nan,-nan
1581302320.226938048,0.010687,-0.0123776,-3.49751e-14,-nan,-nan,-nan
1581302320.271804360,0.0119849,-0.0127744,-8.16139e-14,-nan,-nan,-nan
1581302320.277903135,0.0126188,-0.0120371,-1.39443e-13,-nan,-nan,-nan
1581302320.284070912,0.0143433,-0.0136444,-1.56837e-13,-nan,-nan,-nan
1581302320.290676345,0.0111406,-0.010489,-1.22973e-13,-nan,-nan,-nan
1581302320.297852767,0.0121914,-0.01225,-1.1182e-13,-nan,-nan,-nan
1581302320.304506600,0.01336,-0.0145005,-8.28707e-14,-nan,-nan,-nan
1581302320.310689810,0.0104651,-0.0119257,-4.27355e-14,-nan,-nan,-nan
1581302320.316848446,0.0116894,-0.0134972,-4.81789e-14,-nan,-nan,-nan
1581302320.322975805,0.0110328,-0.0127568,-3.86329e-14,-nan,-nan,-nan
1581302320.329590139,0.0123691,-0.0142122,-4.92979e-14,-nan,-nan,-nan
1581302320.335683443,0.0117832,-0.0137038,-4.64809e-14,-nan,-nan,-nan
1581302320.378677617,0.00167535,-0.00196613,-5.86281e-15,-nan,-nan,-nan
1581302320.384782106,0.0843991,-0.0848157,-7.87812e-13,-nan,-nan,-nan
1581302320.392594284,0.0117358,-0.0114595,-1.25061e-13,-nan,-nan,-nan
1581302320.398886605,0.012389,-0.0128179,-1.0483e-13,-nan,-nan,-nan
1581302320.405628471,0.0126827,-0.0139532,-8.08427e-14,-nan,-nan,-nan
1581302320.411942802,0.0124124,-0.0143058,-5.24631e-14,-nan,-nan,-nan
1581302320.419004155,0.0125377,-0.0145763,-4.58016e-14,-nan,-nan,-nan
1581302320.425543727,0.0106445,-0.012721,-3.01648e-14,-nan,-nan,-nan
1581302320.431767822,0.0117309,-0.0139743,-3.78732e-14,-nan,-nan,-nan
1581302320.438076457,0.0124289,-0.0143775,-4.77395e-14,-nan,-nan,-nan
1581302320.444677799,0.0108263,-0.0124455,-3.75442e-14,-nan,-nan,-nan
1581302320.450997900,0.0112446,-0.0120953,-6.52978e-14,-nan,-nan,-nan
1581302320.494854617,0.0119219,-0.0117864,-1.12326e-13,-nan,-nan,-nan
1581302320.501077722,0.0127253,-0.0128467,-1.16497e-13,-nan,-nan,-nan
1581302320.507761532,0.0117848,-0.0119614,-1.05668e-13,-nan,-nan,-nan
1581302320.514119611,0.0121375,-0.01311,-7.85249e-14,-nan,-nan,-nan
1581302320.520850989,0.0106349,-0.0119244,-4.97586e-14,-nan,-nan,-nan
1581302320.527622297,0.0118147,-0.0137203,-4.35133e-14,-nan,-nan,-nan
1581302320.580827941,0.00161121,-0.00189414,-5.90535e-15,-nan,-nan,-nan
1581302320.586796546,0.100451,-0.106794,-7.04321e-13,-nan,-nan,-nan
1581302320.594139764,0.0110753,-0.0108586,-1.09921e-13,-nan,-nan,-nan
1581302320.600570327,0.0142489,-0.0140439,-1.41645e-13,-nan,-nan,-nan
1581302320.606789273,0.0120238,-0.012059,-1.12199e-13,-nan,-nan,-nan
1581302320.653676940,0.00176921,-0.00187168,-1.25143e-14,-nan,-nan,-nan
1581302320.659856596,0.0819012,-0.0946456,-3.20613e-13,-nan,-nan,-nan
1581302320.666091796,0.012373,-0.014048,-5.80847e-14,-nan,-nan,-nan
1581302320.672932985,0.0121626,-0.0125058,-1.00314e-13,-nan,-nan,-nan
1581302320.679701724,0.0113368,-0.0112082,-1.06899e-13,-nan,-nan,-nan
