timestamp,va1,va2,va3,va4,va5,va6,va7
1581223105.509572381,-0.00799447,-0.053602,-0.000163326,-0.0682026,-0.0444279,-0.010871,0.0537291
1581223105.515642953,-0.008971,-0.0581478,-6.9385e-05,-0.0749796,-0.048136,-0.0123116,0.0654733
1581223105.521806205,-0.0102541,-0.067174,2.90219e-05,-0.0859216,-0.0553334,-0.012421,0.0744777
1581223105.527842062,-0.00905129,-0.0601363,9.94617e-05,-0.0756031,-0.048125,-0.0104537,0.0631402
1581223105.534542685,-0.00838869,-0.0534113,1.80492e-05,-0.0673352,-0.0430252,-0.00948129,0.0531675
1581223105.540718670,-0.00907743,-0.0570707,-0.000107359,-0.073332,-0.0470699,-0.0103951,0.0577637
1581223105.547891582,-0.00942414,-0.0580556,-5.00855e-05,-0.0730725,-0.0475196,-0.0112021,0.0609021
1581223105.591087978,-0.0111565,-0.0598681,1.81653e-05,-0.075464,-0.047434,-0.0170211,0.0617155
1581223105.597476970,-0.0124979,-0.0668528,-3.8186e-05,-0.0844682,-0.0522601,-0.0222747,0.0665568
1581223105.603426742,-0.010126,-0.0551635,-3.71552e-05,-0.0706405,-0.0441903,-0.0188214,0.0544575
1581223105.609451981,-0.0105249,-0.0571673,-0.000117491,-0.0714811,-0.0470262,-0.0186707,0.0590275
1581223105.615653795,-0.0101194,-0.0575258,2.93608e-05,-0.0709139,-0.0479623,-0.0161577,0.061049
1581223105.621767195,-0.0118615,-0.0695405,9.81073e-05,-0.0840216,-0.0524458,-0.013392,0.0725623
1581223105.627929516,-0.0101096,-0.0587249,7.76819e-05,-0.0718936,-0.0412851,-0.00949775,0.0562971
1581223105.634350793,-0.00989146,-0.0556267,2.79166e-05,-0.0688308,-0.0400348,-0.00884928,0.0510485
1581223105.640767184,-0.0103158,-0.0562359,0,-0.0696244,-0.0416678,-0.0100104,0.0526859
1581223105.648645058,-0.0118636,-0.0639978,-8.20537e-06,-0.0797858,-0.047461,-0.0130951,0.0631603
1581223105.654649057,-0.0096881,-0.0539574,-8.96531e-06,-0.065637,-0.0385085,-0.0104596,0.0532129
1581223105.694172985,-0.0110162,-0.0607486,1.37306e-05,-0.0752614,-0.0448911,-0.0118614,0.0591574
1581223105.700705397,-0.00920997,-0.052904,-0.000151139,-0.0661322,-0.0398838,-0.015584,0.0507082
1581223105.706773952,-0.00907047,-0.0581196,-0.000127475,-0.0719263,-0.0440717,-0.0172192,0.0553347
1581223105.712913476,-0.0099048,-0.0671185,-8.78286e-05,-0.0832004,-0.051181,-0.0205025,0.0685432
1581223105.718926174,-0.00856402,-0.0589324,0.000149377,-0.0729535,-0.0446444,-0.0181338,0.0587632
1581223105.725573253,-0.00742574,-0.053994,8.09125e-05,-0.0670205,-0.0412821,-0.0173957,0.0529871
1581223105.731653283,-0.00796909,-0.0595911,-4.91994e-05,-0.0746733,-0.0455242,-0.0211033,0.0561772
1581223105.737889833,-0.0091645,-0.0673073,0,-0.0858024,-0.0532284,-0.024113,0.0670142
1581223105.743933603,-0.00771601,-0.0579341,-1.96975e-05,-0.073445,-0.0470962,-0.0160036,0.0594911
1581223105.751677991,-0.00735554,-0.053204,1.54439e-05,-0.0672738,-0.0447143,-0.00987436,0.0554524
1581223105.757939545,-0.00928226,-0.0674374,8.75712e-05,-0.0841825,-0.0561217,-0.0106639,0.0676223
1581223105.797878094,-0.00906295,-0.0577187,4.8071e-05,-0.0725396,-0.0459274,-0.00967285,0.0576586
1581223105.804046820,-0.011422,-0.0676923,-0.000234286,-0.0842395,-0.051311,-0.011217,0.0630844
1581223105.810455560,-0.00965847,-0.0569239,-0.000145317,-0.0720364,-0.0440976,-0.0101235,0.0573017
1581223105.816693435,-0.00886267,-0.0538239,-8.99247e-06,-0.0659888,-0.041274,-0.0108152,0.0545797
1581223105.822882622,-0.0109113,-0.0677563,3.86194e-05,-0.0818541,-0.0527451,-0.0161256,0.068384
1581223105.829512931,-0.00904303,-0.0548556,9.18478e-06,-0.0673265,-0.0427155,-0.014796,0.0528062
1581223105.835606836,-0.00914689,-0.0568819,-9.61264e-06,-0.0725595,-0.0433049,-0.0145331,0.0536309
