timestamp,ta1,ta2,ta3,ta4,ta5,ta6,ta7
1581157547.305507084,0.370368,35.6325,-1.15068,-23.6037,1.43853,1.333,-0.307052
1581157547.311770866,0.429524,35.4447,-1.10901,-23.1547,1.42093,1.29229,-0.305717
1581157547.355715841,0.264916,35.4036,-1.14665,-23.5539,1.42797,1.31598,-0.291699
1581157547.361742781,0.303496,35.6196,-1.11842,-23.6373,1.44822,1.31265,-0.292366
1581157547.368470525,0.27006,35.5887,-1.16681,-23.3469,1.42621,1.31064,-0.291699
1581157547.374604452,0.267488,35.2698,-1.19101,-23.148,1.42797,1.30464,-0.288361
1581157547.380920892,0.36008,35.1669,-1.10632,-23.0512,1.40596,1.28194,-0.288361
1581157547.387574227,0.48868,35.2647,-0.989368,-23.0445,1.41564,1.28294,-0.283689
1581157547.393738547,0.60442,35.275,-0.885861,-23.2905,1.43149,1.32132,-0.280685
1581157547.400479681,0.594132,35.2672,-0.912746,-23.4773,1.44117,1.33267,-0.280018
1581157547.406654452,0.550408,35.0872,-1.00415,-23.5714,1.43237,1.32266,-0.28469
1581157547.413333713,0.480964,35.1515,-1.06465,-23.5257,1.44117,1.31632,-0.284356
1581157547.419672982,0.480964,34.8814,-1.02701,-23.1897,1.42093,1.29696,-0.288361
1581157547.425888151,0.465532,34.7966,-0.989368,-23.0378,1.43061,1.29963,-0.289696
1581157547.502619197,0.187756,34.5291,-1.19235,-23.1641,1.4491,1.31965,-0.314728
1581157547.509453821,0.2572,34.5059,-1.14933,-23.2434,1.44117,1.30998,-0.317398
1581157547.515809486,0.3215,34.4802,-1.11842,-23.4034,1.43325,1.31298,-0.317398
1581157547.522529798,0.378084,34.7374,-1.07943,-23.5056,1.44029,1.32266,-0.316397
1581157547.528787183,0.468104,34.7246,-0.993401,-23.2219,1.42885,1.30163,-0.312725
1581157547.536473162,0.5144,34.6114,-0.957106,-23.1628,1.44293,1.29028,-0.314394
1581157547.542886624,0.480964,34.6114,-0.990712,-23.1776,1.44117,1.28394,-0.313393
1581157547.549571854,0.460388,34.8712,-1.03507,-23.3321,1.43941,1.29496,-0.313727
1581157547.555846408,0.444956,35.1258,-1.03104,-23.0767,1.44381,1.28027,-0.307052
1581157547.562607205,0.444956,34.8634,-1.00953,-23.2676,1.44734,1.29462,-0.299375
1581157547.568895085,0.43724,34.6345,-1.00953,-23.3698,1.44558,1.29629,-0.295704
1581157547.611671321,0.534976,34.0378,-0.945008,-22.9127,1.44646,1.28494,-0.293701
1581157547.618601632,0.50154,34.277,-0.953073,-23.1359,1.4579,1.28761,-0.293034
1581157547.624550530,0.432096,34.6757,-1.01894,-23.5566,1.46494,1.31064,-0.291365
1581157547.631479369,0.39866,34.6397,-1.06868,-23.7596,1.47199,1.33634,-0.294035
1581157547.638371989,0.370368,34.4236,-1.07809,-23.4961,1.46758,1.3053,-0.293701
1581157547.644796897,0.426952,34.1098,-1.0176,-22.8939,1.4491,1.28094,-0.299375
1581157547.651477161,0.380656,34.0018,-1.01491,-22.7716,1.45174,1.27293,-0.299375
1581157547.657754393,0.223764,34.1561,-1.13051,-23.0472,1.4579,1.28561,-0.305717
1581157547.697416424,0.316356,34.4468,-1.04179,-23.269,1.46758,1.29028,-0.309388
1581157547.703669315,0.375512,34.2076,-1.03911,-23.0257,1.46318,1.29095,-0.301044
1581157547.709886445,0.416664,33.989,-1.00147,-22.9329,1.45702,1.28394,-0.298708
1581157547.716677011,0.4501,34.1124,-0.95845,-23.0781,1.4667,1.30063,-0.294369
1581157547.759459683,0.522116,33.6392,-0.879139,-22.9114,1.45526,1.29396,-0.30071
1581157547.766376203,0.555552,33.7883,-0.892582,-22.9786,1.44822,1.29663,-0.306718
1581157547.772634551,0.558124,33.8346,-0.883172,-23.074,1.4535,1.3013,-0.302713
1581157547.778990259,0.624996,33.9607,-0.867041,-23.2004,1.45966,1.30797,-0.309054
1581157547.785533507,0.666148,33.9812,-0.824025,-23.4262,1.4667,1.32399,-0.305383
1581157547.791899061,0.66872,34.0816,-0.836123,-23.4276,1.47199,1.30964,-0.313059
1581157547.798630079,0.606992,34.0944,-0.864353,-23.4814,1.47991,1.32099,-0.315062
1581157547.837738930,0.522116,33.9812,-0.932909,-23.3684,1.48079,1.31965,-0.316063
1581157547.843873616,0.480964,33.3563,-0.953073,-23.0902,1.43677,1.28962,-0.321737
1581157547.850480523,0.43724,33.4771,-0.971893,-23.2985,1.46142,1.29829,-0.3194
1581157547.856910491,0.41152,33.7086,-1.01491,-23.6319,1.45878,1.32766,-0.324073
1581157547.900612309,0.228908,33.7806,-1.11707,-23.2797,1.45966,1.29429,-0.309054
1581157547.907347253,0.311212,33.5517,-1.05927,-23.5835,1.4579,1.31164,-0.308053
1581157547.913515180,0.378084,33.7472,-1.00281,-23.6521,1.44381,1.31632,-0.307385
1581157547.919929903,0.416664,33.7472,-0.939631,-23.5096,1.45086,1.30697,-0.301378
1581157547.926659530,0.388372,33.5337,-0.975925,-23.0606,1.43149,1.28628,-0.299709
1581157547.933885099,0.34722,33.2019,-1.01491,-22.8912,1.42269,1.27493,-0.297373
1581157547.940725206,0.403804,32.9319,-0.97727,-22.8899,1.42357,1.27326,-0.301712
1581157547.946935030,0.483536,33.1196,-0.919467,-23.1251,1.42533,1.28895,-0.297373
1581157547.953411990,0.596704,33.4746,-0.825369,-23.5365,1.44381,1.31031,-0.297039
1581157547.959915495,0.596704,33.6186,-0.809238,-23.6709,1.45966,1.31665,-0.293701
1581157547.966616965,0.596704,33.4488,-0.849566,-23.5123,1.45438,1.31265,-0.296038
1581157547.973375622,0.601848,33.0836,-0.865697,-23.2434,1.44381,1.29496,-0.301378
1581157548.016606017,0.46296,33.2122,-0.939631,-23.3496,1.44558,1.31632,-0.307385
1581157548.022683609,0.452672,33.2251,-0.908713,-23.312,1.43765,1.31732,-0.30338
1581157548.029409355,0.43724,33.1531,-0.922155,-23.3684,1.45438,1.32032,-0.305383
1581157548.036869325,0.378084,33.0322,-0.997433,-23.2703,1.43589,1.31765,-0.303047
1581157548.076550192,-0.010288,32.8238,-1.28376,-23.2676,1.42093,1.31265,-0.29537
1581157548.082885353,0.036008,32.847,-1.22461,-23.2932,1.42797,1.31899,-0.30071
1581157548.089585419,0.221192,32.9036,-1.06599,-23.1534,1.42621,1.30831,-0.293701
1581157548.095758542,0.39866,32.9705,-0.875107,-23.2017,1.43237,1.31031,-0.293368
1581157548.102549833,0.56584,33.0219,-0.775632,-23.4141,1.43941,1.31164,-0.290698
1581157548.108859844,0.588988,33.1968,-0.793107,-23.5835,1.44117,1.333,-0.29537
1581157548.115460318,0.519544,33.2791,-0.865697,-23.2932,1.43325,1.31598,-0.295036
1581157548.125729781,0.493824,32.8547,-0.863008,-23.0149,1.42973,1.29329,-0.298708
1581157548.133584511,0.455244,32.6978,-0.875107,-23.105,1.44029,1.28895,-0.297039
1581157548.139834039,0.3858,32.7004,-0.954417,-23.6064,1.45086,1.31532,-0.303047
1581157548.146651162,0.3858,32.7595,-0.97727,-23.5849,1.46142,1.32299,-0.305049
1581157548.152849293,0.470676,32.6232,-0.879139,-23.3093,1.43765,1.30998,-0.313393
1581157548.191979702,0.352364,32.7107,-0.970548,-23.7596,1.44646,1.32566,-0.336755
1581157548.198536919,0.401232,32.7981,-0.919467,-23.7421,1.4491,1.32933,-0.33275
1581157548.204661151,0.480964,32.6232,-0.836123,-23.2421,1.43413,1.31431,-0.335754
1581157548.211012203,0.588988,32.5204,-0.791763,-22.9302,1.44558,1.29496,-0.331749
1581157548.217831039,0.661004,32.5306,-0.721862,-22.8267,1.42885,1.2776,-0.331415
1581157548.224465410,0.661004,32.4406,-0.732616,-23.1009,1.44822,1.29496,-0.32474
1581157548.230864486,0.570984,32.5023,-0.789075,-23.3738,1.46582,1.31298,-0.32474
1581157548.273956121,0.421808,31.5276,-0.89527,-22.7124,1.43325,1.26692,-0.301712
1581157548.280639225,0.408948,32.0214,-0.864353,-23.0821,1.44646,1.28928,-0.297706
1581157548.286902251,0.408948,32.3815,-0.857631,-23.3994,1.45174,1.30263,-0.292033
1581157548.293582163,0.34722,32.5229,-0.910057,-23.6588,1.47287,1.31265,-0.291365
1581157548.299921848,0.272632,32.4715,-1.00012,-23.5875,1.4667,1.30163,-0.299709
1581157548.306770911,0.252056,32.2271,-1.01625,-23.1534,1.45878,1.28094,-0.297373
1581157548.313429489,0.288064,32.0445,-0.957106,-23.1171,1.44998,1.29396,-0.304382
1581157548.319637276,0.298352,32.3995,-0.912746,-23.023,1.44646,1.29229,-0.299042
1581157548.325927916,0.226336,32.2709,-0.979958,-23.0875,1.45438,1.29329,-0.300377
1581157548.335875039,0.146604,32.2349,-1.06599,-23.1265,1.46054,1.29596,-0.302045
1581157548.340327296,0.190328,31.8619,-1.03642,-23.1332,1.46054,1.29529,-0.305049
1581157548.346558480,0.331788,31.6639,-0.915434,-23.0767,1.45614,1.29763,-0.302713
1581157548.388996560,0.576128,32.0317,-0.724551,-23.3093,1.45702,1.31932,-0.318065
1581157548.395759296,0.532404,32.0805,-0.75278,-23.4988,1.45966,1.33734,-0.313727
1581157548.402630870,0.473248,31.9982,-0.80655,-23.3348,1.47375,1.31665,-0.315062
1581157548.409423487,0.42438,31.9056,-0.86032,-23.0579,1.4667,1.29896,-0.314394
1581157548.415807674,0.504112,31.687,-0.813271,-23.0767,1.47463,1.31532,-0.31139
1581157548.422733869,0.470676,31.7796,-0.771599,-23.3295,1.47815,1.32032,-0.312392
1581157548.428885515,0.447528,31.9597,-0.786386,-23.4504,1.48167,1.33834,-0.307719
1581157548.436718791,0.388372,31.8002,-0.86032,-23.398,1.47551,1.34335,-0.311057
1581157548.443421101,0.37294,31.7153,-0.880484,-23.1103,1.48079,1.33734,-0.307385
1581157548.449756188,0.4501,31.6099,-0.803861,-22.9665,1.45438,1.33,-0.305717
1581157548.456504953,0.534976,31.6587,-0.737993,-23.1036,1.45702,1.34135,-0.299709
1581157548.500914470,0.362652,31.4504,-0.854943,-22.9907,1.45526,1.31398,-0.312392
1581157548.507645486,0.43724,31.2446,-0.798484,-22.9584,1.44558,1.31698,-0.315729
1581157548.513897940,0.504112,31.3732,-0.727239,-23.1036,1.44822,1.32867,-0.318065
1581157548.520599207,0.55298,31.5096,-0.703043,-23.3012,1.46054,1.331,-0.321069
1581157548.526772025,0.54012,31.5919,-0.713797,-23.4303,1.44558,1.33033,-0.328412
1581157548.534670517,0.447528,31.417,-0.778321,-23.3926,1.45878,1.33501,-0.329079
1581157548.540961419,0.393516,31.4941,-0.810583,-23.4773,1.45614,1.34068,-0.331082
1581157548.547580927,0.329216,31.4453,-0.868385,-23.3698,1.45086,1.33768,-0.33809
1581157548.587988718,0.421808,31.5276,-0.756813,-23.7193,1.46935,1.36237,-0.341094
1581157548.594734609,0.365224,31.2446,-0.817304,-23.5593,1.46582,1.34902,-0.342095
1581157548.601429033,0.30864,30.9283,-0.868385,-23.0982,1.43325,1.32199,-0.340093
